x,y,z,step,action
-24.0190677321471,-17.5746394453128,287.083564859757,0.236961527223338,proposed
-24.0190583522988,-17.5746380051534,287.083568013229,0.229774963363854,no_hit
-23.9113794698293,-17.3850404110799,287.156018796966,0.236966146230693,proposed
-23.9113747830386,-17.3850321593822,287.156021950295,0.22977972959959,no_hit
-23.9933403676424,-17.1829775051064,287.228470931629,0.236970764443991,proposed
-23.993343934657,-17.1829687111406,287.228474084813,0.229784495011831,no_hit
-24.2026887345713,-17.121963418843,287.300921264163,0.236975381863397,proposed
-24.2026978454182,-17.1219607635082,287.300924417204,0.229789259600725,no_hit
-24.380388166048,-17.2483549526924,287.373369794987,0.236979998489304,proposed
-24.3803958993721,-17.2483604531415,287.373372947884,0.229794023366629,no_hit
-24.3914466616302,-17.4661439959641,287.44581652452,0.236984614322001,proposed
-24.3914346407225,-17.4659072529131,287.445737772809,0.229538999187689,too_far
-24.3915302423499,-17.4659144756422,287.445754923004,0.236727005124592,proposed
-24.3915235159564,-17.4657831364799,287.445711224609,0.229417291332588,too_far
-24.3915831002955,-17.4657890969166,287.445711224766,0.236584094687457,proposed
-24.391578817103,-17.4657059064057,287.445683546866,0.229338061520291,too_far
-24.3916165444402,-17.4657096690713,287.445683546962,0.236493577387228,proposed
-24.3916138244776,-17.4656570170594,287.445666029677,0.229287915372073,too_far
-24.3916376970309,-17.4656593934022,287.445666029737,0.236436289177073,proposed
-24.391635972751,-17.4656260859094,287.44565494848,0.229256192720094,too_far
-24.391651072285,-17.4656275871429,287.445654948517,0.236400049236568,proposed
-24.3916499803952,-17.4656065235046,287.445647940786,0.229236131189744,too_far
-24.391659528465,-17.4656074720706,287.445647940809,0.236377131278563,proposed
-24.3916588375085,-17.4655941540674,287.445643510018,0.229223446735965,too_far
-24.3916648741641,-17.4655947534965,287.445643510032,0.236362640899333,proposed
-24.3916644371116,-17.4655863339123,287.445640708913,0.229215427655895,barely_boundary
-24.3916644371116,-17.4655863339123,287.445640708913,1000,start
-24.2282292516041,-17.609268532477,287.517945743893,0.236521859161895,proposed
-24.3916644371116,-17.4655863339123,287.445640708913,0,reentrant
-24.3264547502421,-17.5562036244474,287.481801943176,0.118260929580947,proposed
-24.3916644371116,-17.4655863339123,287.445640708913,0,reentrant
-24.3641993364811,-17.5145936229297,287.463721326381,0.0591304647904737,proposed
-24.3641946826858,-17.5146019269185,287.463724390032,0.0590265642637068,no_hit
-24.1727329581688,-17.618016337024,287.53602635985,0.23652185333926,proposed
-24.351604841405,-17.5213966808603,287.468477489818,0.0150838985037254,too_far
-24.3551949092556,-17.5263529365542,287.468478636744,0.01555820579845,proposed
-24.3551891209089,-17.526360495834,287.468481694902,0.0155661296109258,no_hit
-24.1579227524491,-17.6182187486378,287.540783669777,0.236521851908085,proposed
-24.3444280239147,-17.5313668659473,287.472424961521,0.0125155418240865,too_far
-24.3472040259435,-17.5356898916636,287.472425913159,0.0129090881417101,proposed
